0	5.885420
1	5.345150
2	5.144965
3	4.696824
4	4.447584
5	3.870164
6	3.674218
7	3.552355
8	3.539160
9	3.084238
10	2.803264
11	2.762715
12	2.424530
13	2.478022
14	2.269236
15	2.060761
16	1.926290
17	1.946641
18	1.881558
19	1.711210
20	1.679668
21	1.571609
22	1.433904
23	1.516700
24	1.439031
25	1.199515
26	1.367892
27	1.383114
28	1.333357
29	1.218926
30	1.237263
31	1.126648
32	1.213736
33	1.160770
34	1.099336
35	0.909633
36	1.127765
37	1.024596
38	1.139403
39	1.005777
40	1.001186
41	1.105105
42	1.037967
43	1.077451
44	1.183186
45	1.002607
46	0.942869
47	0.773122
48	1.144594
49	1.093432
